{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.6, 'nPA': 1.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 0.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 0.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 0.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 0.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 0.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 0.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 0.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.7, 'nPA': 1.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 0.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 0.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 0.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 0.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 0.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 0.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 0.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.8, 'nPA': 1.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 0.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 0.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 0.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 0.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 0.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 0.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 0.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 0.9, 'nPA': 1.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 0.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 0.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 0.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 0.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 0.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 0.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 0.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.0, 'nPA': 1.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 0.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 0.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 0.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 0.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 0.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 0.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 0.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.3, 'nAP': 1.1, 'nPA': 1.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 0.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 0.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 0.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 0.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 0.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 0.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 0.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.1, 'nPA': 1.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 0.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 0.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 0.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 0.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 0.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 0.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 0.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.2, 'nPA': 1.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 0.3, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 0.4, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 0.5, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 0.6, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 0.7, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 0.8, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 0.9, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 1.0, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 1.1, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 1.2, 'DA': 0, 'DAP': 18, 'DP': 0}
{'dP': 2.77, 'dA': 2.88, 'fA': 0.8, 'nAA': 6.0, 'nPP': 9.4, 'nAP': 0.3, 'nPA': 1.3, 'DA': 0, 'DAP': 18, 'DP': 0}
